,Actual,Prediction,Difference
0,12.2,11.35,0.8488285064697259
1,12.16,11.4,0.7630712127685548
2,12.12,11.44,0.6829796981811516
3,12.08,11.47,0.6137514877319337
4,12.12,11.48,0.6384183120727531
5,12.12,11.47,0.6460477066040031
6,12.16,11.44,0.715121421813965
7,12.2,11.4,0.800085258483886
8,12.2,11.35,0.8543617248535149
9,12.24,11.29,0.9520218276977541
10,12.28,11.23,1.048608093261718
11,12.32,11.18,1.1409543228149417
12,12.4,11.13,1.2672389984130863
13,12.44,11.09,1.346682968139648
14,12.48,11.06,1.4150938796997075
15,12.48,11.05,1.4289774703979496
16,12.48,11.05,1.426787834167481
17,12.52,11.07,1.4490504455566402
18,12.56,11.1,1.4577890014648442
19,12.56,11.14,1.4159312820434575
20,12.56,11.19,1.3667407608032232
21,12.52,11.25,1.2733893585205074
22,12.4,11.31,1.0944589614868168
23,12.36,11.37,0.9882520294189447
24,12.36,11.45,0.9142974472045893
25,12.36,11.53,0.833357200622558
26,12.36,11.61,0.7473195648193354
27,12.36,11.7,0.6585925674438471
28,12.36,11.77,0.5907367324829096
29,12.32,11.82,0.5007117462158206
30,12.32,11.86,0.45788700103759794
31,12.28,11.91,0.3677399444580072
32,12.28,11.98,0.29928520202636655
33,12.36,12.07,0.2871621704101557
34,12.36,12.19,0.17109905242919865
35,12.36,12.32,0.0431464767456049
36,12.36,12.44,-0.08303131103515682
37,12.36,12.56,-0.19649948120117244
38,12.36,12.65,-0.29038871765136776
39,12.36,12.72,-0.3617264175415045
40,12.36,12.77,-0.40633739471435604
41,12.36,12.79,-0.42664588928222713
42,12.36,12.79,-0.42762626647949276
43,12.36,12.77,-0.4148937606811529
44,12.36,12.75,-0.3936048889160162
45,12.36,12.73,-0.3679901504516607
46,12.4,12.7,-0.3012119293212887
47,12.48,12.68,-0.19545700073242145
48,12.48,12.65,-0.17206718444824176
49,12.48,12.63,-0.15174343109130817
50,12.44,12.61,-0.1747146224975591
51,12.44,12.6,-0.1608901596069341
52,12.44,12.59,-0.14996295928955128
53,12.44,12.58,-0.14157730102539112
54,12.48,12.58,-0.09531452178955035
55,12.52,12.57,-0.050762634277344176
